date_time,date,time,irradiance,ambient_temp,wind_speed
2020-08-25 06:55:00+05:30,25-08-2020,06:55:00,0,26.92,8.28
2020-08-25 07:00:00+05:30,25-08-2020,07:00:00,0,26.96,8.34
2020-08-25 07:05:00+05:30,25-08-2020,07:05:00,0,27,8.39
2020-08-25 07:10:00+05:30,25-08-2020,07:10:00,0,27.04,8.45
2020-08-25 07:15:00+05:30,25-08-2020,07:15:00,0,27.07,8.5
2020-08-25 07:20:00+05:30,25-08-2020,07:20:00,0,27.11,8.56
2020-08-25 07:25:00+05:30,25-08-2020,07:25:00,0,27.15,8.61
2020-08-25 07:30:00+05:30,25-08-2020,07:30:00,10,27.18,8.67
2020-08-25 07:35:00+05:30,25-08-2020,07:35:00,10,27.16,8.69
2020-08-25 07:40:00+05:30,25-08-2020,07:40:00,10,27.13,8.72
2020-08-25 07:45:00+05:30,25-08-2020,07:45:00,10,27.1,8.74
2020-08-25 07:50:00+05:30,25-08-2020,07:50:00,10,27.08,8.77
2020-08-25 07:55:00+05:30,25-08-2020,07:55:00,10,27.05,8.8
2020-08-25 08:00:00+05:30,25-08-2020,08:00:00,10,27.02,8.82
2020-08-25 08:05:00+05:30,25-08-2020,08:05:00,10,27,8.85
2020-08-25 08:10:00+05:30,25-08-2020,08:10:00,10,26.97,8.88
2020-08-25 08:15:00+05:30,25-08-2020,08:15:00,10,26.94,8.9
2020-08-25 08:20:00+05:30,25-08-2020,08:20:00,10,26.92,8.93
2020-08-25 08:25:00+05:30,25-08-2020,08:25:00,10,26.89,8.96
2020-08-25 08:30:00+05:30,25-08-2020,08:30:00,9,26.86,8.98
2020-08-25 08:35:00+05:30,25-08-2020,08:35:00,9,26.85,9.01
2020-08-25 08:40:00+05:30,25-08-2020,08:40:00,9,26.83,9.03
2020-08-25 08:45:00+05:30,25-08-2020,08:45:00,9,26.82,9.06
2020-08-25 08:50:00+05:30,25-08-2020,08:50:00,9,26.8,9.08
2020-08-25 08:55:00+05:30,25-08-2020,08:55:00,9,26.79,9.1
2020-08-25 09:00:00+05:30,25-08-2020,09:00:00,9,26.77,9.13
2020-08-25 09:05:00+05:30,25-08-2020,09:05:00,9,26.76,9.15
2020-08-25 09:10:00+05:30,25-08-2020,09:10:00,9,26.74,9.18
2020-08-25 09:15:00+05:30,25-08-2020,09:15:00,9,26.73,9.2
2020-08-25 09:20:00+05:30,25-08-2020,09:20:00,9,26.71,9.23
2020-08-25 09:25:00+05:30,25-08-2020,09:25:00,9,26.7,9.25
2020-08-25 09:30:00+05:30,25-08-2020,09:30:00,10,26.68,9.28
2020-08-25 09:35:00+05:30,25-08-2020,09:35:00,10,26.7,9.27
2020-08-25 09:40:00+05:30,25-08-2020,09:40:00,10,26.72,9.27
2020-08-25 09:45:00+05:30,25-08-2020,09:45:00,10,26.73,9.26
2020-08-25 09:50:00+05:30,25-08-2020,09:50:00,10,26.75,9.26
2020-08-25 09:55:00+05:30,25-08-2020,09:55:00,10,26.77,9.25
2020-08-25 10:00:00+05:30,25-08-2020,10:00:00,10,26.78,9.25
2020-08-25 10:05:00+05:30,25-08-2020,10:05:00,10,26.8,9.24
2020-08-25 10:10:00+05:30,25-08-2020,10:10:00,10,26.82,9.24
2020-08-25 10:15:00+05:30,25-08-2020,10:15:00,10,26.84,9.23
2020-08-25 10:20:00+05:30,25-08-2020,10:20:00,10,26.85,9.23
2020-08-25 10:25:00+05:30,25-08-2020,10:25:00,10,26.87,9.22
2020-08-25 10:30:00+05:30,25-08-2020,10:30:00,12,26.89,9.22
2020-08-25 10:35:00+05:30,25-08-2020,10:35:00,12,26.92,9.17
2020-08-25 10:40:00+05:30,25-08-2020,10:40:00,12,26.96,9.12
2020-08-25 10:45:00+05:30,25-08-2020,10:45:00,12,26.99,9.08
2020-08-25 10:50:00+05:30,25-08-2020,10:50:00,12,27.02,9.03
2020-08-25 10:55:00+05:30,25-08-2020,10:55:00,12,27.06,8.98
2020-08-25 11:00:00+05:30,25-08-2020,11:00:00,12,27.09,8.94
2020-08-25 11:05:00+05:30,25-08-2020,11:05:00,12,27.12,8.89
2020-08-25 11:10:00+05:30,25-08-2020,11:10:00,12,27.15,8.84
2020-08-25 11:15:00+05:30,25-08-2020,11:15:00,12,27.19,8.8
2020-08-25 11:20:00+05:30,25-08-2020,11:20:00,12,27.22,8.75
2020-08-25 11:25:00+05:30,25-08-2020,11:25:00,12,27.25,8.7
2020-08-25 11:30:00+05:30,25-08-2020,11:30:00,14,27.29,8.66
2020-08-25 11:35:00+05:30,25-08-2020,11:35:00,14,27.35,8.66
2020-08-25 11:40:00+05:30,25-08-2020,11:40:00,14,27.41,8.66
2020-08-25 11:45:00+05:30,25-08-2020,11:45:00,14,27.47,8.66
2020-08-25 11:50:00+05:30,25-08-2020,11:50:00,14,27.52,8.67
2020-08-25 11:55:00+05:30,25-08-2020,11:55:00,14,27.58,8.67
2020-08-25 12:00:00+05:30,25-08-2020,12:00:00,14,27.64,8.67
